ulica Jeziorowa,50/20
ulica Jeziorowa,50/19
ulica Jeziorowa,50/9
ulica Jeziorowa,50/15
ulica Jeziorowa,50/10
Trakt Lubelski,300E/52
Trakt Lubelski,300E/43
Trakt Lubelski,300E/39
Trakt Lubelski,181A
Trakt Lubelski,300E/41
Trakt Lubelski,311
Trakt Lubelski,372A
Trakt Lubelski,300E/25
Trakt Lubelski,300E/23
Trakt Lubelski,249
Trakt Lubelski,300E/21
Trakt Lubelski,300E/24
Trakt Lubelski,300E/16
Trakt Lubelski,300E/14
Trakt Lubelski,300E/10
Trakt Lubelski,300E/12
ulica Lucerny,112
ulica Lucerny,111
ulica Lucerny,106
ulica Lucerny,37
ulica Lucerny,91A
ulica Lucerny,55
ulica Lucerny,55B
ulica Lucerny,55A
ulica Lucerny,67A
ulica Lucerny,67
ulica Lucerny,4A
ulica Lucerny,49A
ulica Lucerny,19A
ulica Lucerny,123
ulica Lucerny,126
ulica Lucerny,38
ulica Lucerny,64
ulica Lucerny,95
ulica Lucerny,89
ulica Lucerny,23
ulica Lucerny,61
ulica Lucerny,81
ulica Lucerny,81A
ulica Lucerny,65
ulica Lucerny,128
ulica Lucerny,69A
ulica Lucerny,117
ulica Lucerny,63
ulica Lucerny,39
ulica Lucerny,34
ulica Lucerny,32
ulica Lucerny,13
Trakt Lubelski,239M
Trakt Lubelski,395
Trakt Lubelski,26AA
Trakt Lubelski,26A
Trakt Lubelski,181
Trakt Lubelski,222
Trakt Lubelski,342
Trakt Lubelski,253D
Trakt Lubelski,53
Trakt Lubelski,51
ulica Floriana Marciniaka,12
ulica Floriana Marciniaka,14
ulica Floriana Marciniaka,2
ulica Floriana Marciniaka,16
ulica Floriana Marciniaka,22
ulica Floriana Marciniaka,13
ulica Floriana Marciniaka,15
ulica Floriana Marciniaka,18
ulica Floriana Marciniaka,5
ulica Floriana Marciniaka,7
ulica Floriana Marciniaka,17
ulica Floriana Marciniaka,8
ulica Floriana Marciniaka,3
ulica Floriana Marciniaka,9
ulica Floriana Marciniaka,1
ulica Floriana Marciniaka,6
ulica Floriana Marciniaka,4
ulica Marecka,3E
ulica Marecka,2
ulica Marecka,6
ulica Marecka,11A
ulica Marecka,7
ulica Marecka,13
ulica Marecka,8
ulica Marecka,12
ulica Marecka,13A
ulica Marecka,6A
ulica Marecka,1
ulica Marecka,5
ulica Marecka,4A
ulica Marecka,4
ulica Marecka,3B
ulica Marecka,3C
ulica Ligustrowa,25A
ulica Ligustrowa,13C
ulica Ligustrowa,27
ulica Ligustrowa,12
ulica Kąkolowa,2A
ulica Kąkolowa,15A
ulica Kąkolowa,17A
